filename	author	title	periodical	year	decade	fictional
rwz_ind_digbib_938.tsv	Büchner, Luise	Die Geschichte vom Christkind Vogel		1868	1860	yes
rwz_ind_digbib_1041.tsv	Christen, Ada	Nachbar Krippelmacher		1884	1880	yes
rwz_ind_digbib_1180.tsv	Franzos, Karl Emil	Baron Schmule		1877	1870	yes
rwz_ind_digbib_1310.tsv	Janitschek, Maria	Das neue Weib		1902	1900	yes
rwz_ind_digbib_1996.tsv	Meyrink, Gustav	Der Mann auf der Flasche		1913	1910	yes
rwz_ind_digbib_2030.tsv	Mörike, Eduard	Die Hand der Jezerte		1853	1850	yes
rwz_ind_digbib_2477.tsv	Poe, Edgar Allan	Von Kempelen und seine Entdeckung		1849	1840	yes
rwz_ind_digbib_3004.tsv	Schnitzler, Arthur	Der Sohn		1892	1890	yes
rwz_ind_mkhz_1852.tsv		Die Parteien in Preußen. Die Ereignisse in Kurhessen. Deutschland. Belgien.	bayerische	1850	1850	no
rwz_ind_mkhz_4995.tsv			pfennig	1843	1840	no
rwz_ind_mkhz_5942.tsv	Cabet, Étienne	Reise nach Ikarien (Fortsetzung). Erster Theil. Reise. Bericht. Beschreibung.	social	1874	1870	yes
rwz_ind_mkhz_6380.tsv			sonntagsblatt	1869	1860	no
rwz_ind_mkhz_10560.tsv		Theater-Festvorstellung am 2. December. Vorbereitungen zur Illumination. Personales. Aus dem Stadtverordneten-Collegium. Jubiläums-Fest-Concert des Musik-Vereins. Vom Männergesangverein. Turnhallen-Bau.(Eine Spende. Gastspiel. Vom ersten Olmützer Fischerei-Verein. Fabriksverkauf. Weihnachtsbescheerung an der Paulowitzer Volksschule. Silberne Hochzeit. Vom Sonntage. Vierhalle-Uebernahme. Von der freiw. Feuerwehr in Neustift. Fahrbegünstigung. Freiwillig dem Hungertode geweiht. Die Verpachtung der Mauthstellen in M.-Weißkirchen, Leipnik und P?aslawitz. Dilettantentheater in Hombok. Das letzte Jahr des Jahrhunderts. Gebissen.	maehrisches	1898	1890	no
rwz_ind_mkhz_11194.tsv		Gemeinderat.(Sitzung vom 18. Juli.) Die Durchführung der Schulreform. Solenne Kundgebung für das friedliche Zusammenleben der Nationen. Aus dem Landesschulrat.(Sitzung vom 11. Juli 1914.) Frau Josefine Brunstein gestorben. Auszeichnung. Ernennungen. Von der Landesregierung. Aus dem Rathause. Zum Lemberger Hygiene-Kongreß. Szewczenkofeier. Zur neuen Militärstrafprozeßordnung. Kabarett der Gesellschaft der Kunstfreunde. Ernteurlaubertransport. Gewerbeverein „Cintracht“. Festnahme berüchtigter Taschendiebe. Unfall oder boshafte Tat? Selbstmordversuch wegen eines Hundes. Diebstahl. Pilzvergiftung.	czernowitzer	1914	1910	no
rwz_ind_mkhz_20044.tsv		— St. Gallen. — Oberland. — Gaster. — Gaster. — Amden. — Wattwil. — Schlag auf Schlag. — Uznach. — Eschenbach. — Milchverkäufe. — Landsturmeintheilung in Goldingen.	stgaller	1887	1880	no
rwz_ind_mkhz_20363.tsv		Gemeinderatssitzung. Eine Abordnung beim Bürgermeister. Spende. Eine große Südbahnerversammlung. Eine interessante Schaustellung. Malschule-Ausstellung. Studienreise. Das „Geisterhäusl“. Maschinelle Holzbearbeitung. Wolkenbruch und Überschwemmungen. Laudwirtschaftlicher Verein Rothwein. 8000 Kronen an unsere Hausfrauen ausbezahlt.	marburger	1907	1900	no
